member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dyn_adj_local_25_gaussian,pn_dyn_adj_local_50_pca_gaussian
r1i1p1f1,0,factual,2010-01-16 12:00:00,-29.281689,22.75,0.8665775749456113,0.9778888541020906,0.7501935125342423,0.9999576930157492
r1i1p1f1,1,factual,2010-01-16 12:00:00,-25.296999,147.06522,0.932410000368897,0.9741598391557591,0.7817143969616029,0.9979016211866272
r1i1p1f1,2,factual,2010-01-16 12:00:00,-0.15845072,21.328125,0.5745049089352341,0.9999952437722838,0.6757999548377185,1.0
r1i1p1f1,3,factual,2010-01-16 12:00:00,11.27732,7.586207,0.7915599008375254,0.998785756815859,0.7048700517770808,0.9994779273090791
r1i1p1f1,4,factual,2010-02-15 00:00:00,-24.671364,137.22223,0.9876664627011144,0.9816649867162,0.7048764156125455,0.983617833875401
r1i1p1f1,5,factual,2010-02-15 00:00:00,1.9014086,13.541667,0.6536665075101046,0.9999992183941943,0.9448328904690032,1.0
r1i1p1f1,6,factual,2010-03-16 12:00:00,0.9507043,114.166664,0.6584030836058454,0.9999999991465928,0.9088938797350927,1.0
r1i1p1f1,7,factual,2010-03-16 12:00:00,4.2061462,31.136364,0.8256405311737834,0.9985274543399474,0.8414218714168887,0.9999999994583517
r1i1p1f1,8,factual,2010-03-16 12:00:00,30.489252,54.210526,0.943478706450094,0.9896927284843905,0.6852253467287579,0.9992912803012469
r1i1p1f1,9,factual,2010-04-16 00:00:00,18.887325,348.75,0.8788062126688128,0.9944886437860975,0.8282297483126652,0.9968379735011328
r1i1p1f1,10,factual,2010-04-16 00:00:00,22.586428,35.454544,0.8611912920251202,0.9974456626946431,0.25876307024290324,0.9972629499000205
r1i1p1f1,11,factual,2010-06-16 00:00:00,-80.511604,340.34927,0.9886466230946312,0.8276060802881613,0.9106978969156196,0.9950214422035175
r1i1p1f1,12,factual,2010-06-16 00:00:00,-77.601234,11.666667,0.9644130132672971,0.8000685815268175,0.8398279879645494,0.9724817496052185
r1i1p1f1,13,factual,2010-08-16 12:00:00,-26.396023,26.17647,0.8095293416804585,0.9737009567897219,0.8882317415437868,0.9999906862102578
r1i1p1f1,14,factual,2010-09-16 00:00:00,-81.919014,217.8125,0.8514997300050544,0.5582061888882752,0.2241721034399452,0.8821789218461823
r1i1p1f1,15,factual,2010-09-16 00:00:00,-28.896233,124.84694,0.9287965834759362,0.9870024363174175,0.9554522976761985,0.999983454113318
r1i1p1f1,16,factual,2010-12-16 12:00:00,68.38157,245.68182,0.9702373711167595,0.9788105051818894,0.8843278912873108,0.9999994451034963
r1i1p1f1,17,factual,2011-01-16 12:00:00,31.99744,266.21213,0.9934499215261248,0.8977447479804633,0.8189675683599025,0.9999997814242348
r1i1p1f1,18,factual,2011-03-16 12:00:00,25.885841,255.78947,0.8898424367818395,0.9726029013869872,0.5896209676509766,0.9999936422387325
r1i1p1f1,19,factual,2011-03-16 12:00:00,43.298737,272.89474,0.9657481051621111,0.9490164418824417,0.9700714700942823,0.9999993881572646
r1i1p1f1,20,factual,2011-05-16 12:00:00,-72.69718,85.125,0.9943967427733944,0.5232626034291997,0.5092193130734823,0.9457373193473929
r1i1p1f1,21,factual,2011-05-16 12:00:00,-75.06036,128.39285,0.9963562228210627,0.65552860764753,0.5431442356782442,0.9975929877344462
r1i1p1f1,22,factual,2011-12-16 12:00:00,66.50054,271.53845,0.9919707056264528,0.965977769386464,0.789186120932137,0.9999999999999779
r1i1p1f1,23,factual,2011-12-16 12:00:00,71.10115,252.5,0.9842992107438994,0.977374893802723,0.78402992319931,0.9999999996049715
r1i1p1f1,24,factual,2012-03-16 12:00:00,-31.436625,120.833336,0.7306076546233866,0.9398406494967716,0.9815249594234425,0.9999990923346772
r1i1p1f1,25,factual,2012-03-16 12:00:00,32.233402,115.2381,0.9915575896184042,0.9716186345888825,0.9152044883727831,0.9834804527163057
r1i1p1f1,26,factual,2012-04-16 00:00:00,54.3322,26.077587,0.982682885968246,0.9739521365832259,0.9847880061795307,0.9999999733153752
r1i1p1f1,27,factual,2012-07-16 12:00:00,-75.44517,96.875,0.9462963913971066,0.6143667083749145,0.7765763485624757,0.989683028047529
r1i1p1f1,28,factual,2012-11-16 00:00:00,70.22536,145.1875,0.9989565739712387,0.9971229981339607,0.9822951989423043,1.0
r1i1p1f1,29,factual,2013-01-16 12:00:00,36.488934,60.714287,0.9729776378643787,0.9736988676908606,0.7032902784963333,0.9796478154835173
r1i1p1f1,30,factual,2013-02-15 00:00:00,29.915493,66.14286,0.9729430316512095,0.986191818318704,0.20739659006294442,0.9453312915210481
r1i1p1f1,31,factual,2013-10-16 12:00:00,-14.66197,310.25,0.9757092182069771,0.9996382835479752,0.88026673371632,0.9994673377907876
r1i1p1f1,32,factual,2013-11-16 00:00:00,40.183098,243.3125,0.9879165117284097,0.9776797909766521,0.7767428779149389,0.9999882885159779
r1i1p1f1,33,factual,2014-02-15 00:00:00,24.71831,106.666664,0.9999991840275284,0.9756130252520838,0.36168006929068175,0.9996776005202064
r1i1p1f1,34,factual,2014-02-15 00:00:00,37.014076,272.77274,0.9956082823092475,0.9119743181712172,0.9310960617969035,0.9999997642462156
r1i1p1f1,35,factual,2014-02-15 00:00:00,67.11267,170.20833,0.9999973868240623,0.9930399572383309,0.9771428121361354,0.9999999530918704
r1i1p1f1,36,factual,2014-04-16 00:00:00,52.10002,49.7191,0.992573103224509,0.9650681620228321,0.9983389504453701,0.9999999823958198
r1i1p1f1,37,factual,2014-06-16 00:00:00,-17.990248,25.576923,0.9964461801553848,0.997961812630706,0.9714074292480838,0.9999999543606036
r1i1p1f1,38,factual,2014-08-16 12:00:00,-18.169012,144.0,0.9974497654823872,0.9971263871510885,0.9010690961468389,0.9999916882471658
r1i1p1f1,39,factual,2014-08-16 12:00:00,-8.315493,292.4,0.9965577980415662,0.9999983284418352,0.8528987717613595,0.9999951722090198
r1i1p1f1,40,factual,2014-10-16 12:00:00,-16.608887,306.98718,0.9999999915693724,0.9982137294628093,0.900011262496966,0.9853440164424222
r1i1p1f1,41,factual,2014-10-16 12:00:00,-6.464789,31.0,0.8658378332801046,0.9999950018843289,0.9840581159095227,0.9999999999999993
r1i1p1f1,0,counterfactual,2010-01-16 12:00:00,-29.281689,22.75,0.39676573501487566,0.04069108975727809,0.04084137579866298,0.07178335233380262
r1i1p1f1,1,counterfactual,2010-01-16 12:00:00,-25.296999,147.06522,0.31868163383785564,0.02832659028278528,0.0,0.0
r1i1p1f1,2,counterfactual,2010-01-16 12:00:00,-0.15845072,21.328125,0.23812393295355783,0.003820006977993562,0.0007500467849960168,0.0
r1i1p1f1,3,counterfactual,2010-01-16 12:00:00,11.27732,7.586207,0.28344984263123185,0.05850854352586898,0.0,0.0
r1i1p1f1,4,counterfactual,2010-02-15 00:00:00,-24.671364,137.22223,0.1975731953339056,0.03388813975462368,0.0,0.0
r1i1p1f1,5,counterfactual,2010-02-15 00:00:00,1.9014086,13.541667,0.351622668477223,0.16238564344325457,0.0,0.8792197655939704
r1i1p1f1,6,counterfactual,2010-03-16 12:00:00,0.9507043,114.166664,0.38042108978884714,0.3102460192753519,0.3135349976687616,0.7864363632632086
r1i1p1f1,7,counterfactual,2010-03-16 12:00:00,4.2061462,31.136364,0.2924173512390248,0.009053003423600048,0.0,0.0
r1i1p1f1,8,counterfactual,2010-03-16 12:00:00,30.489252,54.210526,0.2377230996020112,0.12955037399244018,0.007051663690242349,0.0
r1i1p1f1,9,counterfactual,2010-04-16 00:00:00,18.887325,348.75,0.45500332319034464,0.18994032080335777,0.09475748266094541,0.15479811372320607
r1i1p1f1,10,counterfactual,2010-04-16 00:00:00,22.586428,35.454544,0.15011971461679507,0.0313362821195291,0.0,0.0
r1i1p1f1,11,counterfactual,2010-06-16 00:00:00,-80.511604,340.34927,0.46872469524007265,0.1717709138704242,0.04415672068760823,0.1191379162777263
r1i1p1f1,12,counterfactual,2010-06-16 00:00:00,-77.601234,11.666667,0.0736535511989298,0.007758327389788877,0.007479638428431357,0.0
r1i1p1f1,13,counterfactual,2010-08-16 12:00:00,-26.396023,26.17647,0.4271423485455049,0.060287880179314746,0.17659099364431952,0.21077968751614484
r1i1p1f1,14,counterfactual,2010-09-16 00:00:00,-81.919014,217.8125,0.08889934922045317,0.0,0.0036030237077998573,0.0
r1i1p1f1,15,counterfactual,2010-09-16 00:00:00,-28.896233,124.84694,0.3423701516898432,0.0,0.003279655232016898,0.0
r1i1p1f1,16,counterfactual,2010-12-16 12:00:00,68.38157,245.68182,0.007152322909756648,0.019440325916161183,0.0,0.0
r1i1p1f1,17,counterfactual,2011-01-16 12:00:00,31.99744,266.21213,0.002905889626096836,0.0,0.0,0.0
r1i1p1f1,18,counterfactual,2011-03-16 12:00:00,25.885841,255.78947,0.18591954599432792,0.0,0.0,0.0
r1i1p1f1,19,counterfactual,2011-03-16 12:00:00,43.298737,272.89474,0.26013763713422833,0.02819467179416779,0.045142910278223036,0.0810739860711086
r1i1p1f1,20,counterfactual,2011-05-16 12:00:00,-72.69718,85.125,0.7250046011558304,0.0,0.2967048189202426,0.3917821179177725
r1i1p1f1,21,counterfactual,2011-05-16 12:00:00,-75.06036,128.39285,0.7284075186523817,0.0,0.1821643480900743,0.49157658074567545
